Database_Name,Max_Temperature,Time_of_Max_Temperature,Number_of_Detections
C:\SG_Devices_DBs\SG21\2025-03-19_Galshan.db,22.5,2025.03.19_16.27.17,1
C:\SG_Devices_DBs\SG21\2025-03-20_Galshan.db,17.0,2025.03.20_00.59.14,1
C:\SG_Devices_DBs\SG21\2025-03-21_Galshan.db,22.399999618530273,2025.03.21_08.38.35,6
C:\SG_Devices_DBs\SG21\2025-03-22_Galshan.db,25.200000762939453,2025.03.22_12.33.23,14
C:\SG_Devices_DBs\SG21\2025-03-23_Galshan.db,22.700000762939453,2025.03.23_12.51.18,3
C:\SG_Devices_DBs\SG21\2025-03-24_Galshan.db,32.0,2025.03.24_10.27.36,2
C:\SG_Devices_DBs\SG21\2025-03-25_Galshan.db,37.400001525878906,2025.03.25_09.47.48,5
C:\SG_Devices_DBs\SG21\2025-03-26_Galshan.db,41.099998474121094,2025.03.26_09.24.27,2
C:\SG_Devices_DBs\SG21\2025-03-27_Galshan.db,44.79999923706055,2025.03.27_15.25.17,11
C:\SG_Devices_DBs\SG21\2025-03-28_Galshan.db,43.900001525878906,2025.03.28_16.16.03,2
C:\SG_Devices_DBs\SG21\2025-03-29_Galshan.db,30.899999618530273,2025.03.29_14.40.40,3
C:\SG_Devices_DBs\SG21\2025-03-30_Galshan.db,28.600000381469727,2025.03.30_09.47.11,1
C:\SG_Devices_DBs\SG21\2025-03-31_Galshan.db,34.0,2025.03.31_14.16.31,4
C:\SG_Devices_DBs\SG21\2025-04-01_Galshan.db,34.79999923706055,2025.04.01_18.05.16,264
C:\SG_Devices_DBs\SG21\2025-04-02_Galshan.db,35.20000076293945,2025.04.02_09.05.40,378
C:\SG_Devices_DBs\SG21\2025-04-23_Galshan.db,32.400001525878906,2025.04.23_17.07.36,0
C:\SG_Devices_DBs\SG21\2025-06-24_Galshan.db,34.400001525878906,2025.06.24_13.22.15,0
C:\SG_Devices_DBs\SG21\2025-06-25_Galshan.db,47.599998474121094,2025.06.25_10.14.14,22
C:\SG_Devices_DBs\SG21\2025-06-26_Galshan.db,48.599998474121094,2025.06.26_12.12.23,7
C:\SG_Devices_DBs\SG21\2025-06-27_Galshan.db,47.5,2025.06.27_10.16.33,8
C:\SG_Devices_DBs\SG21\2025-06-28_Galshan.db,41.400001525878906,2025.06.28_15.53.33,17
C:\SG_Devices_DBs\SG21\2025-06-29_Galshan.db,49.79999923706055,2025.06.29_14.54.43,8
C:\SG_Devices_DBs\SG21\2025-06-30_Galshan.db,49.20000076293945,2025.06.30_08.20.50,5
C:\SG_Devices_DBs\SG21\2025-07-01_Galshan.db,41.0,2025.07.01_12.32.01,3
C:\SG_Devices_DBs\SG21\2025-07-02_Galshan.db,48.0,2025.07.02_07.56.53,5
C:\SG_Devices_DBs\SG21\2025-07-03_Galshan.db,47.5,2025.07.03_11.04.11,2
C:\SG_Devices_DBs\SG21\2025-07-04_Galshan.db,48.29999923706055,2025.07.04_11.22.24,4
C:\SG_Devices_DBs\SG21\2025-07-05_Galshan.db,41.70000076293945,2025.07.05_10.53.30,3
C:\SG_Devices_DBs\SG21\2025-07-06_Galshan.db,40.70000076293945,2025.07.06_15.12.50,740
C:\SG_Devices_DBs\SG21\2025-07-07_Galshan.db,48.599998474121094,2025.07.07_14.03.43,6385
C:\SG_Devices_DBs\SG21\2025-07-08_Galshan.db,48.70000076293945,2025.07.08_13.56.09,182
C:\SG_Devices_DBs\SG21\2025-07-09_Galshan.db,49.400001525878906,2025.07.09_12.56.11,7
